resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,stop,pit_stop_lap,pit_stop_duration
20848,843,153,5,7,24,0.0,9,36,1,9,22419
20849,844,20,9,1,1,25.0,58,1,1,11,20623
20849,844,20,9,1,1,25.0,58,1,2,25,20112
20849,844,20,9,1,1,25.0,58,1,3,40,20385
20849,844,20,9,1,1,25.0,58,1,4,47,20489
20850,844,17,9,2,2,18.0,58,1,1,10,21050
20850,844,17,9,2,2,18.0,58,1,2,21,20421
20850,844,17,9,2,2,18.0,58,1,3,35,20843
20850,844,17,9,2,2,18.0,58,1,4,45,22087
20851,844,4,6,5,3,15.0,58,1,1,10,21308
20851,844,4,6,5,3,15.0,58,1,2,23,21732
20851,844,4,6,5,3,15.0,58,1,3,36,21702
20851,844,4,6,5,3,15.0,58,1,4,46,21379
20852,844,1,1,4,4,12.0,58,1,1,9,20833
20852,844,1,1,4,4,12.0,58,1,2,20,21075
20852,844,1,1,4,4,12.0,58,1,3,34,35688
20852,844,1,1,4,4,12.0,58,1,4,46,22041
20853,844,3,131,3,5,10.0,58,1,1,10,22573
20853,844,3,131,3,5,10.0,58,1,2,22,20927
20853,844,3,131,3,5,10.0,58,1,3,33,20949
20853,844,3,131,3,5,10.0,58,1,4,44,20308
20854,844,18,1,6,6,8.0,58,1,1,13,21368
20854,844,18,1,6,6,8.0,58,1,2,26,22639
20854,844,18,1,6,6,8.0,58,1,3,39,21417
20855,844,2,4,9,7,6.0,58,1,1,10,22300
20855,844,2,4,9,7,6.0,58,1,2,22,21919
20855,844,2,4,9,7,6.0,58,1,3,36,20872
20855,844,2,4,9,7,6.0,58,1,4,46,21884
20856,844,808,4,7,8,4.0,58,1,1,8,21422
20856,844,808,4,7,8,4.0,58,1,2,19,21323
20856,844,808,4,7,8,4.0,58,1,3,34,21838
20856,844,808,4,7,8,4.0,58,1,4,45,21662
20857,844,67,5,16,9,2.0,58,1,1,9,21769
20857,844,67,5,16,9,2.0,58,1,2,23,22128
20857,844,67,5,16,9,2.0,58,1,3,40,22032
20858,844,155,15,24,10,1.0,58,1,1,13,21820
20858,844,155,15,24,10,1.0,58,1,2,23,23455
