driverId,constructorId,grid,positionOrder,laps,circuitId,numStops
819,206,23,0,57,12,2
1,1,8,0,52,9,2
3,131,11,0,52,9,2
4,6,1,0,52,9,2
5,207,19,0,51,9,2
8,208,6,0,52,9,2
10,206,20,0,51,9,2
13,6,5,0,52,9,2
17,9,2,1,52,9,2
18,1,16,0,52,9,2
20,9,4,0,52,9,2
30,131,3,0,52,9,2
37,164,21,0,50,9,1
39,164,22,0,50,9,2
154,208,9,0,52,9,2
155,15,17,0,52,9,2
807,10,14,0,52,9,2
811,3,13,0,52,9,2
813,3,7,0,51,9,2
814,10,10,0,2,9,1
815,15,15,0,11,9,1
817,5,12,0,52,9,2
818,5,23,0,52,9,2
819,206,24,0,51,9,2
1,1,7,0,56,10,3
3,131,21,0,67,10,3
4,6,1,1,67,10,2
5,207,16,0,65,10,4
8,208,10,0,67,10,2
10,206,22,0,64,10,2
13,6,13,0,67,10,3
17,9,8,0,67,10,2
18,1,6,0,67,10,2
20,9,2,0,67,10,2
30,131,3,0,67,10,3
37,164,23,0,64,10,2
39,164,24,0,64,10,2
154,208,19,0,66,10,3
155,15,12,0,67,10,2
807,10,4,0,67,10,3
808,207,18,0,66,10,3
811,3,14,0,66,10,3
813,3,5,0,66,10,3
814,10,9,0,67,10,2
815,15,17,0,67,10,2
817,5,11,0,67,10,2
818,5,15,0,67,10,3
819,206,20,0,65,10,2
1,1,1,1,69,11,2
3,131,13,0,69,11,2
4,6,6,0,69,11,2
5,207,19,0,68,11,3
8,208,5,0,69,11,2
10,206,22,0,66,11,2
13,6,7,0,69,11,2
17,9,11,0,69,11,3
18,1,4,0,69,11,3
20,9,3,0,69,11,3
30,131,17,0,58,11,3
37,164,23,0,66,11,2
39,164,24,0,60,11,2
154,208,2,0,69,11,2
155,15,15,0,67,11,2
807,10,10,0,69,11,2
808,207,20,0,67,11,3
811,3,9,0,69,11,2
813,3,8,0,69,11,3
814,10,12,0,69,11,2
815,15,14,0,69,11,2
817,5,18,0,68,11,3
818,5,16,0,68,11,4
819,206,21,0,67,11,2
3,131,23,0,44,13,2
5,207,18,0,43,13,2
8,208,3,0,44,13,2
10,206,20,0,43,13,2
13,6,14,0,44,13,2
17,9,12,0,44,13,2
18,1,1,1,44,13,1
20,9,10,0,44,13,1
30,131,13,0,44,13,2
37,164,21,0,43,13,3
39,164,24,0,29,13,2
155,15,2,0,44,13,3
807,10,11,0,44,13,2
808,207,19,0,43,13,2
811,3,17,0,44,13,2
813,3,6,0,4,13,1
814,10,9,0,44,13,2
817,5,16,0,44,13,2
818,5,15,0,44,13,2
819,206,22,0,43,13,1
1,1,1,1,53,14,1
3,131,6,0,53,14,2
4,6,10,0,53,14,1
5,207,17,0,52,14,2
8,208,7,0,53,14,1
10,206,19,0,52,14,2
13,6,3,0,53,14,1
17,9,11,0,51,14,1
18,1,2,0,32,14,1
20,9,5,0,47,14,2
30,131,4,0,53,14,2
37,164,23,0,52,14,1
39,164,21,0,52,14,1
155,15,8,0,53,14,1
807,10,24,0,50,14,1
808,207,18,0,52,14,2
811,3,13,0,53,14,1
813,3,22,0,53,14,2
814,10,9,0,53,14,1
815,15,12,0,53,14,1
816,208,15,0,53,14,1
817,5,14,0,53,14,1
819,206,20,0,52,14,2
1,1,1,0,22,15,1
3,131,10,0,59,15,2
4,6,5,0,59,15,2
5,207,19,0,59,15,3
8,208,12,0,59,15,2
10,206,20,0,59,15,2
13,6,13,0,59,15,3
17,9,7,0,59,15,3
18,1,4,0,59,15,2
20,9,3,1,59,15,2
30,131,9,0,38,15,2
37,164,24,0,58,15,3
39,164,23,0,30,15,1
154,208,8,0,59,15,2
155,15,17,0,59,15,3
807,10,11,0,59,15,3
808,207,18,0,57,15,4
811,3,22,0,57,15,3
813,3,2,0,36,15,3
814,10,6,0,59,15,2
815,15,14,0,59,15,2
817,5,15,0,59,15,2
818,5,16,0,38,15,2
819,206,21,0,59,15,2
1,1,9,0,53,22,2
5,207,17,0,52,22,2
8,208,7,0,53,22,2
10,206,18,0,52,22,2
13,6,10,0,53,22,2
17,9,2,0,53,22,2
18,1,8,0,53,22,2
20,9,1,1,53,22,2
30,131,23,0,53,22,2
37,164,20,0,52,22,2
